nom_entreprise;adresse;ville;telephone;telephone_type;site_web;nom_dirigeant;confiance_dirigeant;taille_estimee;horaires_ouverture;creneaux_non_couverts;plainte_telephonique;citation_plainte_telephone;score;categorie_priorite;raison_commerciale;grappe;secteur
Fritec Paris - Serris;ZAC du Couternois, 5 Av. Louise-Amélie Leblois, 77700 Serris, France;Lagny-sur-Marne 77400;01 64 17 31 00;fixe;http://www.fritec.fr/;;;TPE (probable);lundi: 07:30 – 12:00, 13:30 – 17:00 | mardi: 07:30 – 12:00, 13:30 – 17:00 | mercredi: 07:30 – 12:00, 13:30 – 17:00 | jeudi: 07:30 – 12:00, 13:30 – 17:00 | vendredi: 07:30 – 12:00, 13:30 – 16:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;J'ai effectué une demande de prix sur l'agence de Serris, on m'a toujours pas répondu.;49;🟡 PRIORITÉ B — À tester (Moins prioritaire / Décision complexe);"🤖 IA: Fritec est une franchise/groupe avec gestion centralisée ; bien que le secteur (fournitures frigoriste/climatisation) justifie un standard IA pour gérer les demandes de prix et appels techniques, la structure groupe limite l'autonomie décisionnelle du gérant local et réduit la pertinence commerciale. | Franchise ou réseau détecté par IA | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Créneaux critiques (Fermé week-end)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Conforama Torcy;17 Av. de Lingenfeld, 77200 Torcy, France;Lagny-sur-Marne 77400;0 892 01 08 08;fixe;https://www.conforama.fr/magasins-conforama/ile-de-france/torcy-816;Flavien Didier Marcel Dhellemmes;officielle;PME+;lundi: 10:00 – 19:30 | mardi: 10:00 – 19:30 | mercredi: 10:00 – 19:30 | jeudi: 10:00 – 19:30 | vendredi: 10:00 – 19:30 | samedi: 10:00 – 19:30 | dimanche: 10:00 – 19:00;Horaires continus / larges;oui;pas d'excuse de la part de l'enseigne, pas de réponse à mon mail, rien !!!!;49;🟡 PRIORITÉ B — À tester (Moins prioritaire / Décision complexe);"🤖 IA: Conforama est un groupe national avec décision centralisée ; bien que le magasin gère réservations et appels clients, l'absence de réactivité téléphonique/mail révèle un besoin de standard IA, mais la structure franchise limite l'autonomie d'achat local et réduit la pertinence commerciale. | Franchise ou réseau détecté par IA | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Gros volume d'avis (3354) → fort trafic d'appels | Décideur identifié (Flavien Didier Marcel Dhellemmes) | PME structurée (5000-9999) → budget solvable";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
Boulanger Lognes;Centre Commercial Valorée, 5 All. des Palombes, 77185 Lognes, France;Lagny-sur-Marne 77400;0 800 30 30 11;fixe;https://www.boulanger.com/magasins/ile-de-france/seine-et-marne/lognes/5-allee-des-palombes;Éric Yvon Courteille;officielle;PME+;lundi: 10:00 – 19:30 | mardi: 10:00 – 19:30 | mercredi: 10:00 – 19:30 | jeudi: 10:00 – 19:30 | vendredi: 10:00 – 19:30 | samedi: 10:00 – 19:30 | dimanche: 10:00 – 19:30;Horaires continus / larges;oui;et qui ne revient jamais;49;🟡 PRIORITÉ B — À tester (Moins prioritaire / Décision complexe);"🤖 IA: Boulanger est une franchise nationale où le gérant local n'a pas autonomie décisionnelle ; les avis révèlent une gestion chaotique des appels clients et une indisponibilité du personnel, mais la structure centralisée limite la vente directe de Qalm AI au niveau local. | Implanté en centre commercial (vérifier l'autonomie du gérant) | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Gros volume d'avis (3577) → fort trafic d'appels | Décideur identifié (Éric Yvon Courteille) | PME structurée (5000-9999) → budget solvable";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
Cuisinella;Rue de la coeillette, Zone d'Activités Commerciales Du Clos Du, Chene, 27 - 29 Av. de la Frm Briarde, 77600 Chanteloup-en-Brie, France;Lagny-sur-Marne 77400;01 60 97 61 60;fixe;https://www.ma.cuisinella/fr-fr/magasins/seine-et-marne/marne-la-vallee-Val-d-Europe;;;TPE;lundi: 14:00 – 18:45 | mardi: 10:00 – 19:00 | mercredi: 10:00 – 19:00 | jeudi: 10:00 – 19:00 | vendredi: 10:00 – 19:00 | samedi: 10:00 – 19:00 | dimanche: 14:00 – 18:30;Horaires continus / larges;oui;Aucune réponse aux mails;49;🟡 PRIORITÉ B — À tester (Moins prioritaire / Décision complexe);🤖 IA: Cuisinella est une franchise nationale avec besoin critique de gestion d'appels et de suivi client (multiples plaintes sur absence de rappels et mauvaise joignabilité), mais la crise organisationnelle interne et le turnover massif des équipes rendent l'adoption d'une solution IA peu pertinente sans restructuration préalable. | Franchise ou réseau détecté par IA | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Volume d'avis solide (120);Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
CUISINE PLUS Val d'Europe;Av. de la Frm Briarde, 77144 Montévrain, France;Lagny-sur-Marne 77400;01 76 21 96 50;fixe;https://www.cuisine-plus.fr/trouver-mon-magasin/cuisine-plus-val-d-europe-montevrain?at_campaign=0277-perm&at_content=val-europe&at_medium=local_organic&at_source=gmb;;;petite PME (probable);lundi: 10:00 – 12:30, 14:00 – 19:00 | mardi: 10:00 – 12:30, 14:00 – 19:00 | mercredi: 10:00 – 12:30, 14:00 – 19:00 | jeudi: 10:00 – 12:30, 14:00 – 19:00 | vendredi: 10:00 – 12:30, 14:00 – 19:00 | samedi: 10:00 – 19:00 | dimanche: 14:00 – 19:00;Horaires continus / larges;oui;Une seule fois, j'ai appelé le magasin et je suis tombée sur une autre personne qui m'a littéralement crié dessus simplement parce que je demandais à parler avec Lydia;49;🟡 PRIORITÉ B — À tester (Moins prioritaire / Décision complexe);🤖 IA: Franchise/groupe avec magasin physique (Val d'Europe) nécessitant gestion d'appels clients pour réservations et devis, mais score limité par structure centralisée et problèmes critiques de service client (accueil agressif, manque de suivi) qui demandent d'abord une refonte managériale avant automatisation téléphonique. | Franchise ou réseau détecté par IA | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Gros volume d'avis (534) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable;Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
Opel Marne-la-Vallée - Groupe Riester;1 Rue de la Découverte, 77600 Chanteloup-en-Brie, France;Lagny-sur-Marne 77400;01 60 17 28 77;fixe;http://www.riester.fr/;;;petite PME (probable);lundi: 08:30 – 12:00, 13:30 – 19:00 | mardi: 08:30 – 12:00, 13:30 – 19:00 | mercredi: 08:30 – 12:00, 13:30 – 19:00 | jeudi: 08:30 – 12:00, 13:30 – 19:00 | vendredi: 08:30 – 12:00, 13:30 – 19:00 | samedi: 09:00 – 12:00, 14:00 – 19:00 | dimanche: Fermé;Fermé dimanche;oui;Sérieusement, enlevez votre répondeur IA. Je prends rdv sur le site, le garage me rappelle je loupe l'appel et impossible de rappeler à cause de ce truc qui NE FONCTIONNE PAS. Vous êtes INJOIGNABLES.;43;🟡 PRIORITÉ B — À tester (Moins prioritaire / Décision complexe);"🤖 IA: Groupe Riester (franchise/groupe) avec concessionnaire multi-services (ventes, réparations, LOA) : volume d'appels élevé justifierait Qalm AI, mais décision centralisée au groupe limite autonomie locale ; paradoxalement, le client dénonce déjà un mauvais système téléphonique existant, signalant un besoin réel mais une faible probabilité de vente (groupe avec infrastructure décisionnelle rigide). | Franchise ou réseau détecté par IA | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Gros volume d'avis (362) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
DARTY Le Clos du Chêne;Zone commerciale Clos du Chêne, 30 Av. de la Frm Briarde, 77144 Montévrain, France;Lagny-sur-Marne 77400;0 892 01 10 10;fixe;https://magasin.darty.com/183-darty-le-clos-du-chene?utm_source=gmb;;;petite PME (probable);lundi: 10:00 – 19:30 | mardi: 10:00 – 19:30 | mercredi: 10:00 – 19:30 | jeudi: 10:00 – 19:30 | vendredi: 10:00 – 19:30 | samedi: 10:00 – 19:30 | dimanche: 10:00 – 19:00;Horaires continus / larges;oui;relancée par téléphone, elle ose me couper la parole;43;🟡 PRIORITÉ B — À tester (Moins prioritaire / Décision complexe);"🤖 IA: Darty est une franchise/groupe national avec décision centralisée ; bien que le magasin gère réservations et appels clients, la structure corporate empêche l'adoption autonome de Qalm AI et les avis révèlent des dysfonctionnements managériaux (SAV, service client) que l'IA ne peut résoudre seule. | Franchise ou réseau détecté par IA | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Gros volume d'avis (1703) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
Carte sur Table;6 Rue de Ferrières, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 64 66 28 00;fixe;;Eugieno Marulli;officielle;TPE;lundi: 08:00 – 17:00 | mardi: 08:00 – 17:00 | mercredi: 08:00 – 17:00 | jeudi: 08:00 – 17:00 | vendredi: 08:00 – 17:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;90;🔥 PRIORITÉ A — Très bon prospect Qalm;🤖 IA: Traiteur indépendant avec forte activité événementielle (mariages, anniversaires, réceptions) nécessitant une gestion 24/7 des appels de réservation, devis et coordination logistique pour optimiser le taux de conversion et la satisfaction client. | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Eugieno Marulli) | Créneaux critiques (Fermé week-end);Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
M'ET STEAKHOUSE;14 Rue Gabriel de Mortillet, 77500 Chelles, France;Lagny-sur-Marne 77400;01 60 20 13 54;fixe;https://instagram.com/met.steakhouse?utm_medium=copy_link;Fabrice Alain Michel Murail;officielle;petite PME;lundi: 12:00 – 15:00, 19:00 – 00:30 | mardi: 12:00 – 15:00, 19:00 – 00:30 | mercredi: 12:00 – 15:00, 19:00 – 00:30 | jeudi: 12:00 – 15:00, 19:00 – 00:30 | vendredi: 12:00 – 15:00, 19:00 – 01:00 | samedi: 12:00 – 15:00, 19:00 – 01:30 | dimanche: 19:00 – 00:30;Horaires continus / larges;non;;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant haut de gamme indépendant avec forte demande de réservations et gestion d'appels clientèle premium ; Qalm AI optimiserait la prise de réservations 24/7 et la qualification des demandes spéciales (événements, groupes) sans surcharger l'équipe de service. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1380) → fort trafic d'appels | Décideur identifié (Fabrice Alain Michel Murail) | PME structurée (20-49) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Jardin de l'Ermitage /l'Ermitage;68 Chem. de Meaux, 77144 Chalifert, France;Lagny-sur-Marne 77400;06 09 54 92 75;mobile;https://lermitage77.fr/;Brigitte Renee Orange;officielle;TPE;lundi: Fermé | mardi: Fermé | mercredi: 19:00 – 00:00 | jeudi: 19:00 – 00:00 | vendredi: 12:00 – 00:00 | samedi: 19:00 – 00:00 | dimanche: Fermé;Fermé dimanche;non;;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Établissement indépendant multi-services (restaurant, événementiel, loisirs) avec forte activité de réservations et événements privés ; Qalm AI optimiserait la gestion 24/7 des appels entrants, des demandes de réservation et de devis traiteur, réduisant les pics d'appels non traités lors des périodes d'événements. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (645) → fort trafic d'appels | Ligne mobile → décideur joignable en direct | Décideur identifié (Brigitte Renee Orange) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Cap Clim;7 Chem. de la Bergame, 77144 Montévrain, France;Lagny-sur-Marne 77400;01 64 26 18 32;fixe;http://www.cap-clim.fr/;Joaquim Goncalves Pereira (goncalves Pereira);officielle;TPE;lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00 | jeudi: 08:00 – 18:00 | vendredi: 08:00 – 18:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Artisan climaticien indépendant avec forte réputation (5/5 avis) et flux de demandes de devis/réservations ; Qalm AI optimiserait la capture d'appels entrants et la qualification des demandes de climatisation pour réduire les délais de réponse et augmenter la conversion. | Décideur identifié (Joaquim Goncalves Pereira (goncalves Pereira)) | Créneaux critiques (Fermé week-end)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Stop-Auto;16 Rue des quilles, 77700 Chessy, France;Lagny-sur-Marne 77400;01 64 18 05 45;fixe;https://entreprises.lefigaro.fr/stop-auto-alep-77/entreprise-799432265;Romain Benittah (benittah);officielle;TPE;lundi: 08:30 – 12:00, 13:30 – 18:00 | mardi: 08:30 – 12:00, 13:30 – 18:00 | mercredi: 08:30 – 12:00, 13:30 – 18:00 | jeudi: 08:30 – 12:00, 13:30 – 18:00 | vendredi: 08:30 – 12:00, 13:30 – 17:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;89;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant avec forte réputation (5/5 avis) et volume de réservations/devis ; Qalm AI optimiserait la gestion 24/7 des appels entrants, devis et prises de rendez-vous pour libérer l'équipe technique et améliorer la réactivité client. | Volume d'avis solide (297) | Décideur identifié (Romain Benittah (benittah)) | Créneaux critiques (Fermé week-end)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
SOCLM;29/31 Rue de Lagny, 77181 Le Pin, France;Lagny-sur-Marne 77400;01 60 03 04 58;fixe;https://soclm.fr/;Jean-christophe Failles;officielle;TPE;lundi: 08:30 – 17:30 | mardi: 08:30 – 17:30 | mercredi: 08:30 – 17:30 | jeudi: 08:30 – 17:30 | vendredi: 08:30 – 17:30 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;89;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Entreprise indépendante multi-services (climatisation, frigoristerie, piscine, paysage) avec forte réputation et volume d'appels de devis/réservations ; Qalm AI optimiserait la capture de demandes 24/7 et la qualification automatique des prospects pour maximiser les interventions. | Décideur identifié (Jean-christophe Failles) | Créneaux critiques (Fermé week-end)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
Monsieur Le Traiteur;2 Rue Vivaldi, 77400 Saint-Thibault-des-Vignes, France;Lagny-sur-Marne 77400;06 10 33 76 90;mobile;https://monsieurletraiteur.fr/;Marc Daniel Paul Dauvergne;officielle;TPE;lundi: 09:00 – 18:00 | mardi: Ouvert 24h/24 | mercredi: Ouvert 24h/24 | jeudi: Ouvert 24h/24 | vendredi: Ouvert 24h/24 | samedi: Ouvert 24h/24 | dimanche: Ouvert 24h/24;Ouvert 24h/24;non;;88;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Traiteur indépendant avec forte activité événementielle (mariages, anniversaires) nécessitant une gestion 24/7 des appels de réservation et devis ; Qalm AI optimiserait la qualification des demandes et la disponibilité commerciale sans surcharge administrative. | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Décideur identifié (Marc Daniel Paul Dauvergne) | Créneaux critiques (Ouvert 24h/24)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Restaurant le 28;Allee de La Mare Houleuse, 77700 Magny-le-Hongre, France;Lagny-sur-Marne 77400;01 60 45 68 90;fixe;https://le28.restaurant/;Shufang Hu;officielle;petite PME;lundi: 10:00 – 20:00 | mardi: 10:00 – 20:00 | mercredi: 10:00 – 20:00 | jeudi: 10:00 – 20:00 | vendredi: 10:00 – 20:00 | samedi: 02:30 – 20:00 | dimanche: 10:00 – 20:00;Horaires continus / larges;non;;88;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte activité événementielle (mariages, baptêmes, anniversaires) et réservations ; Qalm AI optimiserait la gestion 24/7 des appels de réservation et qualification des demandes de prestations traiteur/événements pour libérer l'équipe. | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Shufang Hu) | PME structurée (10-19) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
L'Escale du Village;3 Rue du Village, 77185 Lognes, France;Lagny-sur-Marne 77400;01 60 05 50 01;fixe;;Mehmet Uyut (uyut);officielle;TPE;lundi: 11:30 – 14:30, 18:30 – 22:30 | mardi: 11:30 – 14:30, 18:30 – 22:30 | mercredi: 11:30 – 14:30, 18:30 – 22:30 | jeudi: 11:30 – 14:30, 18:30 – 22:30 | vendredi: 11:30 – 14:30, 18:30 – 22:30 | samedi: 18:30 – 22:30 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte activité (réservations, événements professionnels, gestion multi-services) et excellente réputation ; Qalm AI optimiserait la prise de réservations 24/7 et la qualification des demandes de groupe/traiteur sans surcharger l'équipe. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (447) → fort trafic d'appels | Décideur identifié (Mehmet Uyut (uyut)) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Restaurant Les Nympheas;1 Pl. Claude Monet, 77400 Saint-Thibault-des-Vignes, France;Lagny-sur-Marne 77400;01 60 35 00 09;fixe;http://restaurant-lesnympheas.com/;Didier Xavier Apollinaire Voskressensky;officielle;TPE;lundi: 12:00 – 14:15, 19:00 – 22:00 | mardi: 12:00 – 14:15, 19:00 – 22:00 | mercredi: 12:00 – 14:15, 19:00 – 22:00 | jeudi: 12:00 – 14:15, 19:00 – 22:00 | vendredi: 12:00 – 14:30, 19:00 – 23:00 | samedi: 19:00 – 23:00 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte activité de réservations et accueil clientèle (5 avis très positifs, mentions d'équipe accueillante) ; Qalm AI optimiserait la gestion 24/7 des appels entrants, réservations et qualification des demandes spéciales (groupes, événements, régimes alimentaires) pour libérer le personnel en salle. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1167) → fort trafic d'appels | Décideur identifié (Didier Xavier Apollinaire Voskressensky) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Garden Coffee;14 Pl. des Colliberts, 77185 Lognes, France;Lagny-sur-Marne 77400;07 82 40 23 47;mobile;https://garden-coffee.fr/;Hugo Gilles Martin Perez;officielle;petite PME;lundi: 12:00 – 01:00 | mardi: 12:00 – 01:00 | mercredi: 12:00 – 01:00 | jeudi: 12:00 – 01:00 | vendredi: 12:00 – 01:00 | samedi: 12:00 – 01:00 | dimanche: 12:00 – 01:00;Horaires continus / larges;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant-brasserie indépendant avec forte activité de réservations et brunch récurrent ; Qalm AI optimiserait la gestion 24/7 des appels de réservation et qualification des demandes (salon-chicha, traiteur) sans surcharge du personnel. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (692) → fort trafic d'appels | Ligne mobile → décideur joignable en direct | Décideur identifié (Hugo Gilles Martin Perez) | PME structurée (10-19) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Au Gouverniaud;38 Rue Pasteur, 77400 Gouvernes, France;Lagny-sur-Marne 77400;01 64 30 97 57;fixe;http://gouverniaud-restaurant-gouvernes.eatbu.com/;Sait Colak;officielle;TPE;lundi: 12:00 – 15:00, 18:30 – 23:00 | mardi: 12:00 – 15:00, 18:30 – 23:00 | mercredi: 12:00 – 15:00, 18:30 – 23:00 | jeudi: 12:00 – 15:00, 18:30 – 23:00 | vendredi: 12:00 – 15:00, 18:30 – 23:00 | samedi: 12:00 – 15:00, 18:30 – 23:00 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte demande de réservations et gestion multi-services (restaurant, traiteur, événements) ; Qalm AI optimiserait la capture des appels de réservation 24/7 et la qualification des demandes de groupe/traiteur sans surcharge du personnel. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (326) → fort trafic d'appels | Décideur identifié (Sait Colak) | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Old Wild West;20 Prom. du 7e Art, 77200 Torcy, France;Lagny-sur-Marne 77400;01 60 06 32 78;fixe;https://www.oldwildwest.fr/code/25646/torcy-c-c-bay-1;;;PME+;lundi: 11:30 – 15:00, 18:00 – 22:00 | mardi: 11:30 – 15:00, 18:00 – 22:00 | mercredi: 11:30 – 15:00, 18:00 – 22:00 | jeudi: 11:30 – 22:30 | vendredi: 11:30 – 22:30 | samedi: 11:30 – 22:30 | dimanche: 11:30 – 22:00;Horaires continus / larges;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec flux de réservations et appels clients réguliers (5 avis positifs sur service/accueil) ; Qalm AI optimiserait la gestion 24/7 des appels de réservation et qualification des demandes traiteur/événementiel, réduisant les pics d'appels non gérés. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (2736) → fort trafic d'appels | PME structurée (250-499) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Star Food;3 All. des Palombes, 77185 Lognes, France;Lagny-sur-Marne 77400;07 69 44 91 78;mobile;https://fr.mappy.com/poi/6586594d13f5a72c6fcf1c7d;Christine Jin;officielle;petite PME;lundi: 12:00 – 15:00 | mardi: 12:00 – 15:00, 19:00 – 23:30 | mercredi: 12:00 – 15:00, 19:00 – 23:30 | jeudi: 12:00 – 15:00 | vendredi: 12:00 – 15:00, 19:00 – 23:00 | samedi: 12:00 – 15:00, 19:00 – 23:00 | dimanche: 12:00 – 15:00, 19:00 – 23:00;Horaires continus / larges;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant buffet indépendant avec fort volume de réservations et appels (5 avis détaillés, clientèle régulière) ; urgence de gérer 24/7 les demandes de réservation et qualification des clients pour optimiser le taux de remplissage face à la dégradation de réputation. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (1394) → fort trafic d'appels | Ligne mobile → décideur joignable en direct | Décideur identifié (Christine Jin) | PME structurée (20-49) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
"Brasserie ""le 36""";36 Rue de Paris, 77200 Torcy, France;Lagny-sur-Marne 77400;01 60 05 31 44;fixe;https://www.facebook.com/share/16UsP3xWDh/;Johann David Foulon;officielle;TPE;lundi: 06:30 – 20:00 | mardi: 06:30 – 20:00 | mercredi: 06:30 – 20:00 | jeudi: 06:30 – 20:00 | vendredi: 06:30 – 20:00 | samedi: 07:00 – 20:00 | dimanche: 08:00 – 15:00;Horaires continus / larges;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Brasserie indépendante avec forte activité de réservations et accueil clientèle ; Qalm AI optimiserait la gestion 24/7 des appels entrants, des réservations de tables et de la qualification des demandes traiteur, libérant le personnel pour le service en salle. | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (156) | Décideur identifié (Johann David Foulon)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Tang Gourmet;3 Pl. des Libertés Publiques, 77185 Lognes, France;Lagny-sur-Marne 77400;01 60 17 67 54;fixe;http://www.tang-freres.fr/supermarche-asiatique/tang-gourmet-lognes-77/;Thierry Tang;officielle;TPE;lundi: 09:00 – 19:30 | mardi: 09:00 – 19:30 | mercredi: 09:00 – 19:30 | jeudi: 09:00 – 19:30 | vendredi: 09:00 – 19:30 | samedi: 09:00 – 19:30 | dimanche: 09:00 – 14:00;Horaires continus / larges;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant asiatique indépendant avec forte activité (rôtisserie, traiteur, service sur place) générant un volume d'appels de réservations et commandes à emporter ; Qalm AI optimiserait la gestion 24/7 des appels et qualification des demandes, critique face aux récentes tensions de service client relevées dans les avis. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (772) → fort trafic d'appels | Décideur identifié (Thierry Tang)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Zaza;1 Rue de Rome, 77144 Montévrain, France;Lagny-sur-Marne 77400;01 72 84 69 89;fixe;https://www.zaza-restaurant.com/;Jeremie Sayada;officielle;TPE;lundi: 12:00 – 14:00, 19:00 – 22:00 | mardi: 12:00 – 14:00, 19:00 – 22:00 | mercredi: 12:00 – 14:00, 19:00 – 22:00 | jeudi: 12:00 – 22:00 | vendredi: 12:00 – 22:30 | samedi: 12:00 – 22:30 | dimanche: 12:00 – 22:00;Horaires continus / larges;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte activité (5 avis positifs, mentions de réservations vivement recommandées) ; gestion 24/7 des appels de réservation et demandes clients critiques pour optimiser le taux de conversion et réduire les appels manqués en période de pointe. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (2580) → fort trafic d'appels | Décideur identifié (Jeremie Sayada)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
SYA;6 Rue d'Amsterdam, 77144 Montévrain, France;Lagny-sur-Marne 77400;01 88 81 23 26;fixe;http://www.le-sya.com/;Anthony La;officielle;petite PME;lundi: 12:00 – 14:30, 19:00 – 23:00 | mardi: 12:00 – 14:30, 19:00 – 23:00 | mercredi: 12:00 – 14:30, 19:00 – 23:00 | jeudi: 12:00 – 14:30, 19:00 – 23:00 | vendredi: 12:00 – 14:30, 19:00 – 23:30 | samedi: 12:00 – 14:30, 19:00 – 23:30 | dimanche: Fermé;Fermé dimanche;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant haut de gamme avec forte demande de réservations et gestion d'appels clients (5 avis très positifs attestent du volume) ; Qalm AI optimiserait la prise de réservations 24/7 et la qualification des demandes de groupe/événementiel sans surcharge du personnel. | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (948) → fort trafic d'appels | Décideur identifié (Anthony La) | PME structurée (20-49) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
BAJ & Co;7 Av. Jacques Cartier, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 60 03 02 60;fixe;http://www.bajandco.fr/;Amelie Renee Annick Jacq (besnier);officielle;TPE;lundi: 11:30 – 14:30 | mardi: 11:30 – 14:30 | mercredi: 11:30 – 14:30 | jeudi: 11:30 – 14:30 | vendredi: 11:30 – 14:30 | samedi: Fermé | dimanche: Fermé;Fermé week-end;non;;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec forte volatilité de service (avis contrastés) et besoin critique de gestion d'appels 24/7 pour réservations et qualification de demandes ; le standard IA stabiliserait la relation client et libérerait le personnel débordé pour améliorer l'expérience en salle. | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (199) | Décideur identifié (Amelie Renee Annick Jacq (besnier)) | Créneaux critiques (Fermé week-end)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
